Latitude,Longitude,File_Prefix
-52.965095,-67.66131333333334,lg2017_364_14400_nb150
-52.97877833333333,-67.63922,lg2017_364_14400_nb150
-52.99244666666666,-67.61731999999999,lg2017_364_14400_nb150
-53.00606666666667,-67.595515,lg2017_364_14400_nb150
-53.01968000000001,-67.57374166666666,lg2017_364_14400_nb150
-53.03321999999999,-67.55209333333333,lg2017_364_14400_nb150
-53.04664333333334,-67.53061333333333,lg2017_364_14400_nb150
-53.05996333333334,-67.509275,lg2017_364_14400_nb150
-53.07314666666666,-67.48810333333333,lg2017_364_14400_nb150
-53.08583833333334,-67.46658833333333,lg2017_364_14400_nb150
-53.09840500000001,-67.44507,lg2017_364_14400_nb150
-53.11077833333334,-67.42364,lg2017_364_14400_nb150
-53.12303833333333,-67.40235,lg2017_364_14400_nb150
-53.13504833333333,-67.38144166666666,lg2017_364_14400_nb150
-53.146980000000006,-67.36075666666666,lg2017_364_14400_nb150
-53.15871666666666,-67.34015666666667,lg2017_364_14400_nb150
-53.17040666666666,-67.319705,lg2017_364_14400_nb150
-53.18209,-67.29953166666667,lg2017_364_14400_nb150
-53.19387833333333,-67.27982833333333,lg2017_364_14400_nb150
-53.20569666666667,-67.26051666666666,lg2017_364_14400_nb150
-53.21744833333333,-67.24114499999999,lg2017_364_14400_nb150
-53.229075,-67.22159333333333,lg2017_364_14400_nb150
-53.23187666666666,-67.21682333333334,lg2017_364_14400_nb150
-53.23190833333334,-67.21676666666667,lg2017_364_21600_nb150
-53.24331666666666,-67.19749833333333,lg2017_364_21600_nb150
-53.25464166666666,-67.178375,lg2017_364_21600_nb150
-53.26595166666666,-67.15937333333333,lg2017_364_21600_nb150
-53.27719499999999,-67.14041,lg2017_364_21600_nb150
-53.28825833333333,-67.121625,lg2017_364_21600_nb150
-53.299355000000006,-67.10289833333333,lg2017_364_21600_nb150
-53.31034166666666,-67.084415,lg2017_364_21600_nb150
-53.32131,-67.06590666666666,lg2017_364_21600_nb150
-53.33221999999999,-67.04744000000001,lg2017_364_21600_nb150
-53.34316333333334,-67.02885666666667,lg2017_364_21600_nb150
-53.35405833333333,-67.01042333333334,lg2017_364_21600_nb150
-53.36469333333334,-66.99229,lg2017_364_21600_nb150
-53.375485,-66.97411,lg2017_364_21600_nb150
-53.386155,-66.95606833333333,lg2017_364_21600_nb150
-53.39692,-66.93798833333334,lg2017_364_21600_nb150
-53.407725,-66.92034666666666,lg2017_364_21600_nb150
-53.41856666666666,-66.90276,lg2017_364_21600_nb150
-53.429405,-66.88514833333333,lg2017_364_21600_nb150
-53.44026666666666,-66.86755,lg2017_364_21600_nb150
-53.451165,-66.84973666666667,lg2017_364_21600_nb150
-53.46191666666667,-66.83173666666667,lg2017_364_21600_nb150
-53.46273166666667,-66.83038666666667,lg2017_364_21600_nb150
-53.46276333333334,-66.83033333333333,lg2017_364_28800_nb150
-53.47355166666666,-66.81229333333333,lg2017_364_28800_nb150
-53.484285,-66.79434333333333,lg2017_364_28800_nb150
-53.49491999999999,-66.77628833333333,lg2017_364_28800_nb150
-53.50532666666667,-66.75818166666667,lg2017_364_28800_nb150
-53.51573166666667,-66.74004166666667,lg2017_364_28800_nb150
-53.52628666666666,-66.72204666666667,lg2017_364_28800_nb150
-53.53689166666667,-66.70401666666666,lg2017_364_28800_nb150
-53.54747,-66.68592833333334,lg2017_364_28800_nb150
-53.55804499999999,-66.66758,lg2017_364_28800_nb150
-53.56882333333333,-66.64917166666666,lg2017_364_28800_nb150
-53.57988333333334,-66.63087166666666,lg2017_364_28800_nb150
-53.59137333333334,-66.61281333333334,lg2017_364_28800_nb150
-53.602955,-66.59444,lg2017_364_28800_nb150
-53.61448833333333,-66.57550333333333,lg2017_364_28800_nb150
-53.62602166666667,-66.55660999999999,lg2017_364_28800_nb150
-53.63765,-66.53746,lg2017_364_28800_nb150
-53.649148333333336,-66.518025,lg2017_364_28800_nb150
-53.66028833333333,-66.49792166666667,lg2017_364_28800_nb150
-53.67157666666667,-66.47769166666667,lg2017_364_28800_nb150
-53.68293166666667,-66.45709833333333,lg2017_364_28800_nb150
-53.690465,-66.44370166666667,lg2017_364_28800_nb150
-53.69050166666667,-66.44364499999999,lg2017_364_36000_nb150
-53.70246666666666,-66.42329166666667,lg2017_364_36000_nb150
-53.71459333333333,-66.40339833333333,lg2017_364_36000_nb150
