Year,TowNumber,TimStart,TimEnd,GridLine,GridStation,LatitudeStart,LongitudeStart,DepthMaximumM,EsuperbaNum,EsuperbaVol,EcrystalNum,EcrystalVol,EfrigidaNum,EfrigidaVol,ThysanoeNum,ThysanoeVol,SalpSolNum,SalpSolVol,SalpAggNum,SalpAggVol,YearDigs,ADCP_StartFile,ADCP_StartIdx,ADCP_EndFile,ADCP_EndIdx,TowID,idx1,idx2,SST
2005,1,1831.247917,1831.258333,600.0,40.0,64.9334,64.4012,,0.0,0.0,46.865,6.333,,,141.229,8.233,0.0,0.0,75.997,62.065,5,lg2005_004_14400_nb150_tim.csv,6925.0,lg2005_004_21600_nb150_tim.csv,719.0,0,368875.0,369762.0,-1.1033286411406207
2005,3,1831.973611,1831.994444,500.0,60.0,65.4784,66.1401,120.0,1.12,0.56,25.767,1.82,,,22.406,0.56,0.0,0.0,0.0,0.0,5,lg2005_004_79200_nb150_tim.csv,4856.0,lg2005_004_79200_nb150_tim.csv,6629.0,1,430659.0,432432.0,-1.157831642239273
2005,5,1832.133333,1832.159028,500.0,80.0,65.3493,66.4473,123.0,24.368,14.784,214.111,14.896,,,657.219,20.412,0.0,0.0,6.423,2.141,5,lg2005_005_07200_nb150_tim.csv,4266.0,lg2005_005_07200_nb150_tim.csv,6453.0,2,444256.0,446443.0,-0.023155012187708303
2005,7,1832.545833,1832.572222,500.0,100.0,65.2272,66.7703,126.0,120.359,99.209,6.847,1.138,,,577.105,24.949,0.0,0.0,0.096,0.048,5,lg2005_005_43200_nb150_tim.csv,3911.0,lg2005_005_43200_nb150_tim.csv,6158.0,3,479372.0,481619.0,0.10434497331027486
2005,9,1832.755556,1832.778472,500.0,120.0,65.105,67.0858,120.0,2.883,3.604,2.162,0.36,,,43.003,1.562,0.0,0.0,1.682,4.565,5,lg2005_005_64800_nb150_tim.csv,482.0,lg2005_005_64800_nb150_tim.csv,2433.0,4,497226.0,499177.0,0.5272989241795193
2005,11,1832.936111,1832.956944,500.0,140.0,64.9835,67.4105,122.0,0.489,0.244,0.489,0.244,,,204.238,7.009,0.0,0.0,0.978,1.63,5,lg2005_005_79200_nb150_tim.csv,1665.0,lg2005_005_79200_nb150_tim.csv,3438.0,5,512598.0,514371.0,0.8733247839151554
2005,13,1833.131944,1833.156944,500.0,160.0,64.8584,67.7044,123.0,56.39,49.145,201.99,21.823,,,240.223,8.38,0.0,0.0,7.507,6.11,5,lg2005_006_07200_nb150_tim.csv,4147.0,lg2005_006_07200_nb150_tim.csv,6275.0,6,529268.0,531396.0,0.9636207922346092
2005,16,1833.513194,1833.548611,500.0,180.0,64.7312,68.0049,130.0,2.874,4.144,2.406,0.334,,,20.786,0.936,0.0,0.0,13.367,37.896,5,lg2005_006_43200_nb150_tim.csv,1133.0,lg2005_006_43200_nb150_tim.csv,4148.0,7,561723.0,564738.0,1.0437240010612534
2005,18,1833.993056,1834.011806,500.0,220.0,64.4771,68.5637,123.0,6.952,1.106,0.0,0.0,,,64.939,2.212,1.738,0.474,311.424,890.82,5,lg2005_006_79200_nb150_tim.csv,6512.0,lg2005_007_00000_nb150_tim.csv,1014.0,8,602574.0,604170.0,1.0579475057405179
2005,19,1834.076389,1834.103472,500.0,200.0,64.606,68.3002,120.0,0.088,0.132,7.646,1.143,,,1.934,0.088,2.373,0.308,392.424,1007.207,5,lg2005_007_00000_nb150_tim.csv,6512.0,lg2005_007_07200_nb150_tim.csv,1724.0,9,609668.0,611974.0,0.9395677647743093
2005,21,1834.554861,1834.597222,600.0,260.0,63.5934,67.7081,121.0,7.699,12.357,0.0,0.0,,,42.251,1.141,0.0,0.0,23.098,125.184,5,lg2005_007_43200_nb150_tim.csv,4680.0,lg2005_007_50400_nb150_tim.csv,1192.0,10,650400.0,654006.0,1.2385952314936126
2005,22,1834.9625,1834.991667,600.0,240.0,63.7078,67.432,120.0,49.796,62.649,0.0,0.0,,,-1.0,-1.0,0.0,0.0,2290.858,6529.877,5,lg2005_007_79200_nb150_tim.csv,3912.0,lg2005_007_79200_nb150_tim.csv,6394.0,11,685101.0,687583.0,1.2703587058674926
2005,23,1835.135417,1835.154167,600.0,220.0,63.8352,67.1409,125.0,0.977,0.977,0.0,0.0,,,186.792,21.473,5.275,7.522,2558.226,3862.368,5,lg2005_008_07200_nb150_tim.csv,4444.0,lg2005_008_07200_nb150_tim.csv,6041.0,12,699821.0,701418.0,1.1577536503958494
2005,24,1835.708333,1835.730556,600.0,200.0,63.964,66.8379,119.0,19.017,28.526,0.0,0.0,,,84.483,2.861,1.683,-1.0,9.593,43.083,5,lg2005_008_57600_nb150_tim.csv,3558.0,lg2005_008_57600_nb150_tim.csv,5436.0,13,748595.0,750473.0,1.0344766719888652
2005,26,1835.936111,1835.959722,600.0,180.0,64.0871,66.5375,121.0,2.38,3.995,0.0,0.0,,,182.931,5.667,0.34,-1.0,23.121,172.39,5,lg2005_008_79200_nb150_tim.csv,1665.0,lg2005_008_79200_nb150_tim.csv,3675.0,14,766328.0,768338.0,0.8691181833240592
2005,28,1836.148611,1836.163889,600.0,160.0,64.2084,66.2472,123.0,4.745,7.493,0.0,0.0,,,259.99,10.49,0.0,0.0,98.152,399.6,5,lg2005_009_07200_nb150_tim.csv,5567.0,lg2005_009_07200_nb150_tim.csv,6868.0,15,784418.0,785719.0,0.9918245007685242
2005,30,1836.554167,1836.58125,600.0,140.0,64.34,65.9674,123.0,15.924,19.061,0.804,0.201,,,47.772,1.206,0.0,0.0,0.0,0.0,5,lg2005_009_43200_nb150_tim.csv,4621.0,lg2005_009_43200_nb150_tim.csv,6927.0,16,818944.0,821250.0,0.9787133362236476
2005,33,1836.940278,1836.967361,600.0,60.0,64.8173,64.7398,120.0,24.441,22.111,23.02,1.705,,,230.011,9.852,0.0,0.0,1.61,8.147,5,lg2005_009_79200_nb150_tim.csv,2021.0,lg2005_009_79200_nb150_tim.csv,4326.0,17,851813.0,854118.0,0.9229558398386826
2005,36,1837.979861,1838.001389,600.0,80.0,64.7019,65.0323,120.0,0.994,0.311,1.243,0.373,,,888.917,23.757,0.0,0.0,0.621,0.373,5,lg2005_010_79200_nb150_tim.csv,5391.0,lg2005_011_00000_nb150_tim.csv,129.0,18,940310.0,942143.0,1.0049540167211248
2005,38,1838.143056,1838.159028,600.0,100.0,64.5824,65.3404,125.0,1.327,1.327,5.042,0.796,,,65.021,3.185,0.0,0.0,11.943,4.246,5,lg2005_011_07200_nb150_tim.csv,5095.0,lg2005_011_07200_nb150_tim.csv,6455.0,19,954204.0,955564.0,0.2973843987265158
2005,40,1839.083333,1839.115278,600.0,40.0,64.9419,64.392,120.0,10.447,9.932,0.441,0.221,,,116.678,4.193,0.074,0.007,10.888,3.016,5,lg2005_012_07200_nb150_tim.csv,11.0,lg2005_012_07200_nb150_tim.csv,2730.0,20,1034250.0,1036969.0,0.28886697303666736
2005,42,1839.194444,1839.218056,610.0,35.0,64.9017,64.1868,122.0,33.548,25.776,0.839,1.677,,,154.319,5.214,0.0,0.0,6.29,18.172,5,lg2005_012_14400_nb150_tim.csv,2375.0,lg2005_012_14400_nb150_tim.csv,4385.0,21,1043708.0,1045718.0,-0.060110392840083085
2005,43,1841.935417,1841.956944,600.0,120.0,64.4538,65.6661,120.0,49.442,53.411,0.429,0.107,,,237.773,8.719,0.0,0.0,2.36,8.044,5,lg2005_014_79200_nb150_tim.csv,1607.0,lg2005_014_79200_nb150_tim.csv,3440.0,22,1277067.0,1278900.0,1.5335551287114548
2005,45,1843.15,1843.170139,400.0,80.0,66.0021,67.9526,123.0,22.493,30.126,220.287,17.298,,,148.309,7.241,0.0,0.0,0.0,0.0,5,lg2005_016_07200_nb150_tim.csv,5687.0,lg2005_016_14400_nb150_tim.csv,307.0,23,1380471.0,1382185.0,1.3443520894084084
2005,47,1843.286111,1843.301389,400.0,60.0,66.1263,67.6618,122.0,0.672,0.941,136.364,10.463,,,23.803,1.412,0.0,0.0,2.286,1.479,5,lg2005_016_21600_nb150_tim.csv,3086.0,lg2005_016_21600_nb150_tim.csv,4387.0,24,1392058.0,1393359.0,-0.7100336661332
2005,49,1843.518056,1843.543056,400.0,100.0,65.8666,68.2698,122.0,3.679,5.11,1.431,0.153,,,32.502,1.533,0.0,0.0,0.0,0.0,5,lg2005_016_43200_nb150_tim.csv,1549.0,lg2005_016_43200_nb150_tim.csv,3677.0,25,1411805.0,1413933.0,1.4277930953499653
2005,51,1843.713194,1843.740972,400.0,120.0,65.7573,68.604,120.0,50.318,49.523,0.971,0.132,,,0.441,0.044,0.0,0.0,0.0,0.0,5,lg2005_016_57600_nb150_tim.csv,3973.0,lg2005_016_57600_nb150_tim.csv,6337.0,26,1428417.0,1430781.0,1.2566506694852349
2005,53,1843.917361,1843.938889,400.0,140.0,65.6126,68.8786,123.0,40.502,48.555,0.355,0.118,,,168.522,5.685,0.0,0.0,6.869,14.803,5,lg2005_016_79200_nb150_tim.csv,71.0,lg2005_016_79200_nb150_tim.csv,1904.0,27,1445796.0,1447629.0,1.2051635768813937
2005,55,1844.072917,1844.090278,400.0,160.0,65.4824,69.1964,121.0,0.0,0.0,0.0,0.0,,,8445.935,305.387,2.139,0.972,639.44,1620.012,5,lg2005_017_00000_nb150_tim.csv,6219.0,lg2005_017_07200_nb150_tim.csv,603.0,28,1459038.0,1460516.0,1.1552088122602129
2005,57,1844.190278,1844.208333,400.0,180.0,65.3643,69.4821,131.0,0.194,0.194,0.0,0.0,,,31.202,1.647,8.14,4.264,864.341,1096.899,5,lg2005_017_14400_nb150_tim.csv,2022.0,lg2005_017_14400_nb150_tim.csv,3559.0,29,1469030.0,1470567.0,1.0565588426521082
2005,59,1844.874306,1844.896528,400.0,200.0,65.2449,69.7796,121.0,26.13,34.587,0.252,0.05,,,68.165,3.282,0.0,0.0,15.4,31.305,5,lg2005_017_72000_nb150_tim.csv,3501.0,lg2005_017_72000_nb150_tim.csv,5393.0,30,1527262.0,1529154.0,1.2656146328582825
2005,61,1845.189583,1845.210417,300.0,180.0,65.9879,71.1009,126.0,0.0,0.0,0.0,0.0,,,9.518,1.62,-1.0,-1.0,1200.689,1831.713,5,lg2005_018_14400_nb150_tim.csv,1963.0,lg2005_018_14400_nb150_tim.csv,3736.0,31,1554101.0,1555874.0,1.1326320931965375
2005,63,1845.317361,1845.342361,300.0,200.0,65.8449,71.3892,121.0,0.0,0.0,0.0,0.0,,,3.004,1.001,12.016,1.502,1554.628,1988.206,5,lg2005_018_21600_nb150_tim.csv,5748.0,lg2005_018_28800_nb150_tim.csv,781.0,32,1564979.0,1567107.0,1.2567794739323084
2005,65,1845.829861,1845.850694,300.0,160.0,66.1246,70.7812,120.0,24.307,31.186,0.0,0.0,,,643.917,20.214,0.0,0.0,1.511,2.746,5,lg2005_018_64800_nb150_tim.csv,6811.0,lg2005_018_72000_nb150_tim.csv,1490.0,33,1608607.0,1610380.0,1.4518572904922933
2005,67,1846.022222,1846.053472,300.0,140.0,66.2596,70.4855,121.0,6.096,9.407,0.301,0.151,,,15.578,0.903,0.0,0.0,12.793,29.576,5,lg2005_019_00000_nb150_tim.csv,1904.0,lg2005_019_00000_nb150_tim.csv,4565.0,34,1624982.0,1627643.0,1.4769898572517057
2005,69,1846.169444,1846.192361,300.0,120.0,66.3746,70.1959,124.0,12.913,14.527,0.124,0.062,,,10.926,0.435,0.0,0.0,42.463,37.249,5,lg2005_019_14400_nb150_tim.csv,249.0,lg2005_019_14400_nb150_tim.csv,2199.0,35,1637515.0,1639465.0,1.4305837177525533
2005,71,1846.474306,1846.504167,300.0,100.0,66.5076,69.8993,120.0,5.792,6.715,3.022,0.42,,,11.247,1.091,0.0,0.0,51.2,138.325,5,lg2005_019_36000_nb150_tim.csv,4919.0,lg2005_019_43200_nb150_tim.csv,367.0,36,1663466.0,1666008.0,1.3469694586439924
2005,73,1846.684722,1846.720833,300.0,80.0,66.629,69.5589,120.0,7.523,7.976,26.472,2.659,,,82.64,2.998,0.0,0.0,4.355,22.626,5,lg2005_019_57600_nb150_tim.csv,1550.0,lg2005_019_57600_nb150_tim.csv,4624.0,37,1681378.0,1684452.0,0.6247069376693755
